date,dow,asset_id,return_pct,gap_days,stale_flag
2026-09-02,2,A3,-1.217575,1,0
2026-09-02,2,A4,-1.430261,1,0
2026-09-02,2,A5,-1.290712,1,0
2026-09-02,2,A6,0.054277,1,0
2026-09-02,2,A7,0.099275,1,0
2026-09-03,3,A1,2.42903,1,0
2026-09-03,3,A2,-0.657093,1,0
2026-09-03,3,A3,-0.251156,1,0
2026-09-03,3,A4,-1.396914,1,0
2026-09-03,3,A5,-0.232096,1,0
2026-09-03,3,A6,0.030023,1,0
2026-09-03,3,A7,0.086362,1,0
2026-09-04,4,A1,1.242737,1,0
2026-09-04,4,A2,-0.602077,1,0
2026-09-04,4,A3,-0.232339,1,0
2026-09-04,4,A4,2.789539,1,0
2026-09-04,4,A5,-1.064588,1,0
2026-09-04,4,A6,0.261429,1,0
2026-09-04,4,A7,0.087686,1,0
2026-09-05,5,A1,-0.886955,1,0
2026-09-05,5,A6,-0.026632,1,0
2026-09-06,6,A1,0.0,1,1
2026-09-06,6,A6,-0.021683,1,0
2026-09-07,0,A1,-0.78921,1,0
2026-09-07,0,A6,0.045854,1,0
2026-09-08,1,A1,0.204571,1,0
2026-09-08,1,A2,0.269227,1,0
2026-09-08,1,A3,0.18421,1,0
2026-09-08,1,A4,-0.896606,1,0
2026-09-08,1,A5,1.588237,1,0
2026-09-08,1,A6,0.041085,1,0
2026-09-08,1,A7,0.091224,1,0
