as_of,asset_id,horizon,horizon_days,target_date,status,point_pct,actual_pct,abs_err,signed_err,low_pct,high_pct,in_band,p_up,direction_hit,brier,protocol_version,model_id,day_type,confidence,horizon_kind,paired_gain_pp,baseline_naive_pct,baseline_drift_pct,baseline_momentum_pct,beat_naive,beat_drift,beat_momentum,beat_all_three
2026-08-06,A5,1d,1,2026-08-07,resolved,0.0,0.42,0.42,-0.42,-3.0,3.0,1,0.5,0,0.25,1,model_A,calm,low,forecast,0.0,0.0,1.676,1.676,False,True,True,False
2026-08-06,A6,1d,1,2026-08-07,resolved,0.07,0.228,0.158,-0.158,-0.15,0.35,1,0.6,1,0.16,1,model_A,calm,low,forecast,0.07,0.0,0.033,0.167,True,True,False,False
2026-08-01,A1,1w,7,2026-08-10,resolved,0.3,8.035,7.735,-7.735,-4.0,5.0,0,0.54,1,0.2116,1,model_A,weekend,low,forecast,0.3,0.0,,,True,,,
2026-08-01,A4,1w,7,2026-08-10,resolved,0.3,8.55,8.25,-8.25,-5.5,6.5,0,0.53,1,0.2209,1,model_A,weekend,low,forecast,0.3,0.0,,,True,,,
2026-08-01,A2,1w,7,2026-08-10,resolved,0.4,3.57,3.17,-3.17,-4.5,5.5,1,0.52,1,0.2304,1,model_A,weekend,low,forecast,0.4,0.0,,,True,,,
2026-08-01,A3,1w,7,2026-08-10,resolved,0.75,14.194,13.444,-13.444,-0.8,2.3,0,0.7,1,0.09,1,model_A,weekend,low,forecast,0.75,0.0,,,True,,,
2026-08-02,A1,1w,7,2026-08-10,resolved,0.5,8.035,7.535,-7.535,-3.8,5.0,0,0.55,1,0.2025,1,model_A,weekend,low,forecast,0.5,0.0,,,True,,,
2026-08-02,A4,1w,7,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-02,A2,1w,7,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-02,A3,1w,7,2026-08-10,baz_fiyat_yok,,,,,,,,,,,,model_A,,,,,,,,,,,
2026-08-03,A1,1w,7,2026-08-10,resolved,-1.0,7.654,8.654,-8.654,-6.0,5.0,0,0.42,0,0.3364,1,model_A,data,low,forecast,-1.0,0.0,,,False,,,
2026-08-03,A4,1w,7,2026-08-10,resolved,-0.8,7.382,8.182,-8.182,-5.5,4.5,0,0.44,0,0.3136,1,model_A,data,low,forecast,-0.8,0.0,,,False,,,
2026-08-03,A2,1w,7,2026-08-10,resolved,1.0,6.241,5.241,-5.241,-5.5,7.5,1,0.55,1,0.2025,1,model_A,data,low,forecast,1.0,0.0,,,True,,,
2026-08-03,A3,1w,7,2026-08-10,resolved,0.9,4.37,3.47,-3.47,-6.8,8.8,1,0.53,1,0.2209,1,model_A,data,low,forecast,0.9,0.0,,,True,,,
2026-08-07,A1,1d,1,2026-08-10,resolved,1.4,1.212,0.188,0.188,-0.4,3.2,1,0.84,1,0.0256,2,model_A,data,medium,forecast,1.024,0.0,1.559,1.197,True,True,False,False
2026-08-07,A2,1d,1,2026-08-10,resolved,-0.05,0.998,1.048,-1.048,-1.4,1.3,1,0.48,0,0.2704,2,model_A,data,medium,forecast,-0.05,0.0,1.29,-0.801,False,False,True,False
